id,domain,objective,difficulty,citation_host,stem_preview,r1_founder (ok/edit/cut),r2_dawood (ok/cut),notes
founddocs-fed31-taxation-01,founding_documents,SS.912.CG.1.3,5,guides.loc.gov,"In Federalist No. 31, Alexander Hamilton argues that the national gove",,,
founddocs-articles-weakness-tax-08,founding_documents,SS.7.CG.1.7,2,www.archives.gov,One major weakness of the Articles of Confederation that pushed leader,,,
founddocs-mayflower-compact-02,founding_documents,SS.912.CG.1.1,2,avalon.law.yale.edu,The Mayflower Compact of 1620 is often cited as an early example of wh,,,
founddocs-consent-governed-ideal-12,founding_documents,SS.912.CG.1.4,4,www.archives.gov,The founding documents shaped the United States as a constitutional re,,,
founddocs-northwest-ordinance-07,founding_documents,SS.912.CG.1.1,3,www.archives.gov,The Northwest Ordinance of 1787 was important to the growth of the Uni,,,
landmark-marbury-001,landmark_impact,SS.912.CG.3.11,2,www.archives.gov,Marbury v. Madison (1803) is a landmark case because it established wh,,,
landmark-brown-board-001,landmark_impact,SS.912.A.7.8,2,www.archives.gov,"In Brown v. Board of Education (1954), the Supreme Court ruled that ra",,,
landmark-marbury-strike-01,landmark_impact,SS.912.CG.3.11,3,www.oyez.org,"In Marbury v. Madison (1803), the Supreme Court for the first time in ",,,
landmark-mcculloch-tax-02,landmark_impact,SS.8.A.4.13,3,www.oyez.org,"In McCulloch v. Maryland (1819), the Supreme Court ruled that the stat",,,
landmark-plessy-separate-equal-04,landmark_impact,SS.912.A.7.8,2,www.oyez.org,"In Plessy v. Ferguson (1896), the Supreme Court upheld which doctrine ",,,
landmark-engel-school-prayer-10,landmark_impact,SS.7.CG.3.11,2,www.oyez.org,"In Engel v. Vitale (1962), the Supreme Court ruled that which practice",,,
landmark-dred-scott-citizenship-03,landmark_impact,SS.912.CG.3.11,3,www.oyez.org,The Supreme Court's 1857 decision in Dred Scott v. Sandford held which,,,
landmark-schenck-speech-05,landmark_impact,SS.912.CG.3.11,3,www.oyez.org,"In Schenck v. United States (1919), the Supreme Court ruled that free ",,,
landmark-korematsu-exclusion-06,landmark_impact,SS.912.CG.3.11,3,www.oyez.org,The Supreme Court's 1944 decision in Korematsu v. United States upheld,,,
landmark-mapp-exclusionary-08,landmark_impact,SS.912.A.7.8,3,www.oyez.org,"In Mapp v. Ohio (1961), the Supreme Court ruled that evidence obtained",,,
landmark-baker-districting-09,landmark_impact,SS.912.CG.3.11,4,www.oyez.org,"In Baker v. Carr (1962), the Supreme Court decided that federal courts",,,
landmark-brown-overturns-plessy-07,landmark_impact,SS.912.A.7.8,2,www.oyez.org,The Supreme Court's decision in Brown v. Board of Education (1954) ove,,,
landmark-tinker-armbands-13,landmark_impact,SS.7.CG.3.11,3,www.oyez.org,"In Tinker v. Des Moines (1969), the Supreme Court ruled that public sc",,,
landmark-gideon-counsel-11,landmark_impact,SS.912.A.7.8,2,www.oyez.org,"In Gideon v. Wainwright (1963), the Supreme Court ruled that states mu",,,
landmark-miranda-rights-12,landmark_impact,SS.912.A.7.8,1,www.oyez.org,"In Miranda v. Arizona (1966), the Supreme Court required police to do ",,,
landmark-nyt-pentagon-papers-01,landmark_impact,SS.912.CG.3.11,3,www.oyez.org,"In New York Times Co. v. United States (1971), the federal government ",,,
landmark-yoder-religion-02,landmark_impact,SS.912.CG.3.11,3,www.oyez.org,"In Wisconsin v. Yoder (1972), Amish families objected to a state law r",,,
landmark-roe-privacy-03,landmark_impact,SS.912.A.7.8,3,www.oyez.org,"In Roe v. Wade (1973), the Supreme Court held that the constitutional ",,,
landmark-us-nixon-privilege-04,landmark_impact,SS.912.CG.3.11,3,www.oyez.org,"In United States v. Nixon (1974), President Nixon claimed executive pr",,,
landmark-texas-johnson-flag-07,landmark_impact,SS.912.CG.3.11,3,www.oyez.org,"In Texas v. Johnson (1989), the Supreme Court considered whether burni",,,
